Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/06 15:50,24550,80FC87890,10344,809752F10,138.44,US Dollar,138.44,US Dollar,Cheque,0
2022/09/06 02:19,70,100428738,9665,803F928E0,34650.96,Yen,34650.96,Yen,Credit Card,0
2022/09/02 22:14,210431,8063FAD30,229220,811085EF0,2074.31,Euro,2074.31,Euro,Credit Card,0
2022/09/02 05:38,15180,80D1AED30,147885,8129B8EA0,1013.74,Euro,1013.74,Euro,Credit Card,0
2022/09/08 19:04,70,1004286A8,17321,80BFA12A0,4494.91,Euro,4494.91,Euro,Cheque,0
2022/09/06 23:58,213,8097111E0,24856,8092E9D40,691.79,Canadian Dollar,691.79,Canadian Dollar,Wire,0
2022/09/01 00:19,1241,80117BE60,1241,80117BE60,201.41,US Dollar,201.41,US Dollar,Reinvestment,0
2022/09/09 15:00,345770,8114939D0,45601,8114961E0,347.65,Shekel,347.65,Shekel,Cheque,0
2022/09/05 00:26,9,80613E540,7,8061335D0,355533.12,Ruble,355533.12,Ruble,ACH,0
2022/09/01 09:14,3881,802C79660,3881,802C79660,19538.65,Euro,19538.65,Euro,Reinvestment,0
2022/09/03 21:15,70,100428660,22732,80BFEBFF0,8638.95,US Dollar,8638.95,US Dollar,Cheque,0
2022/09/05 08:19,21940,800BD5EE0,1362,80333D730,63.05,US Dollar,63.05,US Dollar,Cash,0
2022/09/08 11:22,28693,8051D3390,28693,8051D3390,54.45,Euro,63.8,US Dollar,ACH,0
2022/09/02 15:36,1024,800ED45D0,234395,80C998140,3431482.37,Mexican Peso,3431482.37,Mexican Peso,Cash,0
2022/09/08 10:27,18617,8091D6000,42373,811FE4610,4631.13,US Dollar,4631.13,US Dollar,Credit Card,0
2022/09/05 09:29,70,1004286A8,2467,8018B6550,1347.94,Euro,1347.94,Euro,Cash,0
2022/09/03 19:05,143493,810C462A0,143242,8117C8150,3985.83,Shekel,3985.83,Shekel,Cheque,0
2022/09/08 20:05,21831,8014EBD20,22775,801E9D300,269.82,Euro,269.82,Euro,Credit Card,0
2022/09/04 19:49,2627,801AC0B90,15447,80A269190,1187.24,US Dollar,1187.24,US Dollar,Cheque,0
2022/09/02 03:25,70,1004288A0,28094,80A706490,12189.74,Australian Dollar,12189.74,Australian Dollar,Credit Card,0
2022/09/08 07:07,111326,804EDE100,23344,805793F70,1988.55,Euro,1988.55,Euro,Credit Card,0
2022/09/06 05:29,2591,8018AB750,14329,809396380,5597.43,Euro,5597.43,Euro,Cash,0
2022/09/02 06:58,220,813CE7ED1,220,813CE7ED1,0.012005,Bitcoin,0.012005,Bitcoin,Bitcoin,0
2022/09/06 17:05,38478,80E451A60,139342,80E9A95F0,118.09,Swiss Franc,118.09,Swiss Franc,Cheque,0
2022/09/06 20:21,70,100428810,21884,80812A400,231.62,UK Pound,231.62,UK Pound,Cash,0
2022/09/02 04:53,116,8000C5F90,137218,80E50A280,16081.56,Swiss Franc,16081.56,Swiss Franc,ACH,0
2022/09/02 16:28,70,1004286A8,11056,8009CCBE0,87.27,Euro,87.27,Euro,Cheque,0
2022/09/09 00:02,18475,80A20B610,18196,80D2374C0,2242.8,Yuan,2242.8,Yuan,Credit Card,0
2022/09/02 12:28,212818,804BBFB20,14381,8054D5420,5262.7,Rupee,5262.7,Rupee,Credit Card,0
2022/09/01 16:39,23402,80DC80520,23402,80DC80520,658647.81,US Dollar,658647.81,US Dollar,Reinvestment,0
2022/09/06 14:21,1588,800EFCF20,701,801E9EDB0,48.54,US Dollar,48.54,US Dollar,ACH,0
2022/09/02 18:56,1420,800789690,3698,80162CE70,235.61,US Dollar,235.61,US Dollar,Cheque,0
2022/09/09 15:37,230257,80B541240,14011,80E68D6D0,13608.31,Euro,13608.31,Euro,Cash,0
2022/09/02 16:24,33780,80D7E6980,236197,8116CF070,35986.82,US Dollar,35986.82,US Dollar,Cheque,0
2022/09/09 17:22,28693,80C0D2B60,231490,80C0EEE00,149.91,US Dollar,149.91,US Dollar,Cheque,0
2022/09/09 15:44,11904,8088A9360,44345,811FC5D30,15.59,US Dollar,15.59,US Dollar,Credit Card,0
2022/09/04 04:32,11471,8009F8780,4726,802786D00,481.15,US Dollar,481.15,US Dollar,Cash,0
2022/09/01 00:59,70,1004286A8,232259,80BCC55C0,1477.55,Euro,1477.55,Euro,Cheque,0
2022/09/01 07:14,243897,810101BC0,142950,810611E50,95325.35,Shekel,95325.35,Shekel,Credit Card,0
2022/09/06 12:11,13037,802668400,215687,807029F90,415.63,US Dollar,415.63,US Dollar,Cheque,0
2022/09/01 13:29,70,1004289C0,113,80FFF0C50,14487.17,Shekel,14487.17,Shekel,Cheque,0
2022/09/06 16:14,238845,80E456D40,238845,80E526980,1104.69,Swiss Franc,1104.69,Swiss Franc,Cheque,0
2022/09/03 00:50,228009,80A96F580,29664,80AFEBED0,2642.81,Australian Dollar,2642.81,Australian Dollar,Credit Card,0
2022/09/01 12:11,115,80CEE25B0,134976,80CF05490,2552.07,Brazil Real,2552.07,Brazil Real,Cheque,0
2022/09/08 07:35,25337,80A66E4F0,13959,80AE04FF0,3946.32,Euro,3946.32,Euro,Credit Card,0
2022/09/07 15:23,1665,80167E1A0,3514,8032C3860,2003.28,Euro,2003.28,Euro,Cheque,0
2022/09/09 05:02,21387,801588450,5466,803BA8850,5768.63,Euro,5768.63,Euro,Cheque,0
2022/09/09 15:34,32870,80124DA90,1729,80124BA00,573.04,US Dollar,573.04,US Dollar,Cheque,0
2022/09/02 05:17,235509,80CE134D0,211,80CE5AFF0,191262.33,Brazil Real,191262.33,Brazil Real,ACH,0
2022/09/10 07:14,70,100428660,24515,80A0C70F0,821.69,US Dollar,821.69,US Dollar,Credit Card,0
2022/09/07 14:35,1362,8002589A0,1674,8027BFBF0,11458367.86,US Dollar,11458367.86,US Dollar,ACH,0
2022/09/04 09:43,5329,8029DCFF0,1522,80D333270,4.53,Euro,4.53,Euro,Cash,0
2022/09/08 07:38,14,81003AC00,244187,811369A00,187.77,Shekel,187.77,Shekel,Cheque,0
2022/09/04 14:57,20,8011402E0,16450,8043853D0,271.09,Euro,271.09,Euro,Credit Card,0
2022/09/09 01:56,23525,807459E70,11852,80BA02330,21.73,Euro,21.73,Euro,Credit Card,0
2022/09/05 09:43,70,1004286A8,27402,80BA45CB0,20.87,Euro,20.87,Euro,Cheque,0
2022/09/02 07:38,20,802FDFF50,4,803686B50,812.35,Yuan,812.35,Yuan,Credit Card,0
2022/09/03 08:47,23344,80174EF70,1547,8069AB330,67.78,Euro,67.78,Euro,Cash,0
2022/09/09 19:37,1047,800B257F0,223041,80B0CABF0,991.63,US Dollar,991.63,US Dollar,Credit Card,0
2022/09/02 11:57,312717,806CE52C0,116214,806CDC270,387.4,US Dollar,387.4,US Dollar,Credit Card,0
2022/09/02 02:46,10099,803DEA570,19925,804101AC0,13350904.01,Yen,13350904.01,Yen,Cheque,0
2022/09/05 16:23,48681,811E940A0,249176,8121B9A20,433769.01,Saudi Riyal,433769.01,Saudi Riyal,Cash,0
2022/09/05 16:42,211,80A567430,127999,80A6F04A0,1961.3,Australian Dollar,1961.3,Australian Dollar,Cheque,0
2022/09/01 00:04,16678,806ABA1B0,16678,806ABA1B0,3726559.77,Ruble,3726559.77,Ruble,Reinvestment,0
2022/09/06 06:03,15085,80CA759C0,122151,80D1BB630,124838.25,US Dollar,124838.25,US Dollar,ACH,0
2022/09/06 23:35,1,8001580D0,1,8001580D0,212.26,Euro,248.72,US Dollar,ACH,0
2022/09/01 00:04,4403,8042596B0,4403,8042596B0,1057.46,US Dollar,1057.46,US Dollar,Reinvestment,0
2022/09/01 13:21,28531,80AA4CC20,28603,80AB05030,473083.39,Australian Dollar,473083.39,Australian Dollar,Cheque,0
2022/09/01 19:01,225215,809247520,125575,809908AB0,12908.34,Canadian Dollar,12908.34,Canadian Dollar,Credit Card,0
2022/09/10 07:11,210404,8132BB950,11405,8132D5CC0,1892.76,US Dollar,1892.76,US Dollar,ACH,0
2022/09/05 08:45,70,1004287C8,16649,806E2DE30,4665.89,Ruble,4665.89,Ruble,Cash,0
2022/09/06 21:21,24515,80215E520,15730,804EE8290,27086.0,US Dollar,27086.0,US Dollar,Credit Card,0
2022/09/01 00:09,1132,80C049A10,28,80CB3D5A0,1019.05,Mexican Peso,1019.05,Mexican Peso,Credit Card,0
2022/09/05 05:26,3229,802BD9B40,215064,80D4145B0,1350.02,US Dollar,1350.02,US Dollar,Credit Card,0
2022/09/08 10:39,21381,802D1FFD0,18107,80E72BBA0,4672.17,Yuan,4672.17,Yuan,Cheque,0
2022/09/06 07:04,70,1004286A8,27920,80434B860,49.63,Euro,49.63,Euro,Credit Card,0
2022/09/01 14:25,2454,802AD3520,6129,807A51420,8377.51,US Dollar,8377.51,US Dollar,Cheque,0
2022/09/09 22:51,1502,801380770,23555,806D206C0,17428.39,Euro,17428.39,Euro,Cheque,0
2022/09/08 03:55,16678,806173750,17120,806FBAA50,2991730.22,Ruble,2991730.22,Ruble,Cheque,0
2022/09/01 04:26,112,80EF16110,112,80EF16110,3746.48,Swiss Franc,3746.48,Swiss Franc,Reinvestment,0
2022/09/01 03:08,39721,80EA3AA20,116,80EDA48F0,88236.67,Swiss Franc,88236.67,Swiss Franc,Cash,0
2022/09/08 00:22,13516,809722270,233603,80E6A02D0,58.8,Euro,58.8,Euro,Credit Card,0
2022/09/09 20:22,11056,801FE2330,25309,80C52AF50,63.24,Euro,63.24,Euro,ACH,0
2022/09/05 08:30,21918,8012EF170,3045,8069A1480,1656.27,Euro,1656.27,Euro,Credit Card,0
2022/09/07 20:09,70,100428660,12803,805151BE0,14428.65,US Dollar,14428.65,US Dollar,Cheque,0
2022/09/07 12:31,2591,80322A6B0,218267,810F02C30,163.52,Euro,163.52,Euro,Credit Card,0
2022/09/01 00:27,310276,808D239F0,310276,808D239F0,20227.84,US Dollar,20227.84,US Dollar,Reinvestment,0
2022/09/01 00:01,4403,8064DC6F0,4403,8064DC6F0,19.27,US Dollar,19.27,US Dollar,Reinvestment,0
2022/09/06 09:14,1068,803EA50A0,132722,80EC380D0,102481.58,US Dollar,102481.58,US Dollar,Cheque,0
2022/09/09 04:21,8074,80E733730,21387,811AA3980,6619.12,Euro,6619.12,Euro,Cheque,0
2022/09/05 18:43,119,811A783A0,148016,811C576F0,596.96,Saudi Riyal,596.96,Saudi Riyal,Credit Card,0
2022/09/09 16:31,220,813B4D431,254565,8148B7DD1,0.000185,Bitcoin,0.000185,Bitcoin,Bitcoin,0
2022/09/07 06:40,21922,8083057E0,150744,813E5D100,502.91,Euro,502.91,Euro,Cheque,0
2022/09/05 19:52,70,100428660,18617,808AE0BA0,167.4,US Dollar,167.4,US Dollar,Cash,0
2022/09/02 00:13,136262,80DB5E470,23885,81478EDD0,2732.02,US Dollar,2732.02,US Dollar,Cash,0
2022/09/08 01:10,29715,80391BE70,20822,80F7C6F00,97289.29,Yuan,97289.29,Yuan,ACH,0
2022/09/06 13:58,116,80E5AE300,239604,80F538F20,223.53,Swiss Franc,223.53,Swiss Franc,Wire,0
2022/09/07 21:19,14650,801B1BC60,113935,80A78F650,52.72,Euro,52.72,Euro,Credit Card,0
2022/09/01 18:22,2627,801150800,148159,81328A900,1745.48,US Dollar,1745.48,US Dollar,Cash,0
2022/09/01 06:17,10,8114807F0,218885,813460C60,6345.6,US Dollar,6345.6,US Dollar,ACH,0
2022/09/01 02:09,1,800627410,12719,8019E5AE0,14246.68,US Dollar,14246.68,US Dollar,Cash,0
2022/09/06 03:17,243614,80FF9BF70,217,810F16190,22458.85,Shekel,22458.85,Shekel,Credit Card,0
2022/09/02 08:52,246748,8128C4390,21387,8128C06E0,1128.77,Euro,1128.77,Euro,ACH,0
2022/09/02 02:46,1674,8042DF7E0,223649,80AD77960,8310.78,US Dollar,8310.78,US Dollar,Credit Card,0
2022/09/01 20:37,23885,802BD56F0,110603,8047ECCE0,315.54,US Dollar,315.54,US Dollar,Cheque,0
2022/09/05 01:25,70,100428738,21,80B1C3C00,78333.36,Yen,78333.36,Yen,Credit Card,0
2022/09/09 23:01,118,80DC15510,117,80E4E7280,28.67,Swiss Franc,28.67,Swiss Franc,Cheque,0
2022/09/02 10:46,341541,80F325FF0,139298,80F31A780,41.29,Swiss Franc,41.29,Swiss Franc,ACH,0
2022/09/09 01:24,15,813E405F1,154662,8146AA2A1,0.00277,Bitcoin,0.00277,Bitcoin,Bitcoin,0
2022/09/07 12:24,117,80E47AAE0,112,80EB06170,719.89,Swiss Franc,719.89,Swiss Franc,Cheque,0
2022/09/07 13:08,10,80611FC80,287,806D8D3D0,95418.96,Ruble,95418.96,Ruble,Cheque,0
2022/09/09 17:58,22828,805DD4870,233580,80C9A43C0,27535.78,US Dollar,27535.78,US Dollar,Credit Card,0
2022/09/01 00:14,213,80C070120,32564,80C1A6DC0,357898.81,Mexican Peso,357898.81,Mexican Peso,Cheque,0
2022/09/01 00:01,141511,80F6A0A90,141511,80F6A0A90,13.84,Swiss Franc,13.84,Swiss Franc,Reinvestment,0
2022/09/05 08:18,13516,80C55BA10,7548,80EC02410,81.0,Euro,81.0,Euro,ACH,0
2022/09/01 15:22,54348,814885581,54348,814885581,0.152948,Bitcoin,0.152948,Bitcoin,Bitcoin,0
2022/09/10 12:04,16606,81044D2A0,214609,81044D070,3875.7,US Dollar,3875.7,US Dollar,ACH,0
2022/09/07 23:53,16941,8093E3940,17321,809E19840,121.65,Euro,121.65,Euro,Cheque,0
2022/09/02 05:50,214,8092E05D0,125811,809D2D0C0,33663.36,Canadian Dollar,33663.36,Canadian Dollar,Credit Card,0
2022/09/08 23:15,1729,8005B7660,11296,8012909F0,1994.02,US Dollar,1994.02,US Dollar,Cheque,0
2022/09/05 02:08,27140,80D299BA0,15750,810969100,683.02,Euro,683.02,Euro,Cheque,0
2022/09/02 02:34,20486,807EF78D0,26,807F08950,2033.39,UK Pound,2033.39,UK Pound,Credit Card,0
2022/09/07 21:09,70,100428660,12,80263FFA0,347.18,US Dollar,347.18,US Dollar,Cheque,0
2022/09/07 07:23,23555,805838470,11,80BAA5880,501.69,Euro,501.69,Euro,Credit Card,0
2022/09/05 15:33,1457,801DB5330,12381,80B3C7200,153.6,US Dollar,153.6,US Dollar,Cheque,0
2022/09/02 01:38,8,8096F8400,25202,8098A85E0,7048.01,Canadian Dollar,7048.01,Canadian Dollar,Cheque,0
2022/09/08 04:14,15,8135EE181,15,8135EE181,0.024104,Bitcoin,0.024104,Bitcoin,Bitcoin,0
2022/09/07 22:33,27621,80A2E25A0,27621,80AA3C340,3441.69,Australian Dollar,3441.69,Australian Dollar,Credit Card,0
2022/09/02 03:46,1729,8013844B0,1601,801A5A840,35311.87,US Dollar,35311.87,US Dollar,Cheque,0
2022/09/05 11:12,1,800794C30,2454,800F58220,323.43,US Dollar,323.43,US Dollar,Cheque,0
2022/09/06 07:37,11,80017EDD0,17769,80A791AD0,18462.48,Euro,18462.48,Euro,Cheque,0
2022/09/09 13:03,5466,806E631A0,218755,80B9903E0,200.38,Euro,200.38,Euro,Wire,0
2022/09/01 01:02,1292,8001C9D30,22736,80118EAD0,1550.61,US Dollar,1550.61,US Dollar,ACH,0
2022/09/04 12:18,70,100428660,121453,80E0FDEC0,2713.95,US Dollar,2713.95,US Dollar,Cheque,0
2022/09/09 17:03,15010,8075E5730,218755,80E935030,1267.27,Euro,1267.27,Euro,Cheque,0
2022/09/09 07:26,113,8101BCD30,244818,810BCA850,15736.48,Shekel,15736.48,Shekel,Credit Card,0
2022/09/01 21:53,112,80E4EAA80,239692,80EB9C700,3409.67,Swiss Franc,3409.67,Swiss Franc,Credit Card,0
2022/09/08 14:42,15916,806CA7D60,1457,80EBBCAC0,8834.05,US Dollar,8834.05,US Dollar,Cheque,0
2022/09/02 05:18,4503,8059712D0,229089,80C6B80C0,1296.79,US Dollar,1296.79,US Dollar,Credit Card,0
2022/09/01 14:50,16388,8033FE7F0,26624,8066D3DA0,6387.75,Euro,6387.75,Euro,Cheque,0
2022/09/05 16:26,70,1004286F0,8248,803719A60,45351.07,Yuan,45351.07,Yuan,Cheque,0
2022/09/08 17:52,254565,813DD4071,154365,81427A7D1,0.000731,Bitcoin,0.000731,Bitcoin,Bitcoin,0
2022/09/05 21:31,1588,80493C5E0,3420,809252B20,392.69,US Dollar,392.69,US Dollar,Credit Card,0
2022/09/09 01:27,310315,80A32A280,14329,80A3295F0,417.12,Euro,417.12,Euro,ACH,0
2022/09/01 03:09,70,100428930,134920,80CE216E0,2930.52,Brazil Real,2930.52,Brazil Real,Credit Card,0
2022/09/02 04:46,16649,806101600,16927,8070AEBD0,4803.26,Ruble,4803.26,Ruble,Cheque,0
2022/09/09 17:07,1688,8019B30C0,17222,811D51250,680.51,US Dollar,680.51,US Dollar,Credit Card,0
2022/09/06 21:29,118,80DC44B80,138335,80E890DA0,176148.41,Swiss Franc,176148.41,Swiss Franc,Cheque,0
2022/09/01 00:28,233580,8103A9700,233580,8103A9700,11.17,US Dollar,11.17,US Dollar,Reinvestment,0
2022/09/01 00:16,220,810D3D670,220,810D3D670,30556.63,Shekel,30556.63,Shekel,Reinvestment,0
2022/09/01 00:06,211,80CCB0B20,211,80CCB0B20,109.9,Brazil Real,109.9,Brazil Real,Reinvestment,0
2022/09/06 06:00,28768,80A9F5700,28690,80AF66260,3393.32,Australian Dollar,3393.32,Australian Dollar,Cheque,0
2022/09/10 02:34,8888,80FCC2670,238123,81318F630,1749.67,Euro,1749.67,Euro,Cheque,0
2022/09/08 18:48,26,807C25570,221765,808DA12B0,115.84,UK Pound,115.84,UK Pound,Credit Card,0
2022/09/09 20:56,24132,80C353CF0,1292,813154130,621.43,US Dollar,621.43,US Dollar,Cash,0
2022/09/03 00:04,112637,804BDED20,13078,8050B91A0,20927.26,Rupee,20927.26,Rupee,Credit Card,0
2022/09/05 18:26,1601,800A46440,23842,813363D40,141.78,US Dollar,141.78,US Dollar,Wire,0
2022/09/06 17:42,1047,8006D2560,23402,8016E2BE0,2617.61,US Dollar,2617.61,US Dollar,Cheque,0
2022/09/08 00:13,27616,803371840,230257,8125AA430,1068.9,Euro,1068.9,Euro,Credit Card,0
2022/09/05 19:42,117,80EA29A70,39721,80ED8CE60,31.11,Swiss Franc,31.11,Swiss Franc,Credit Card,0
2022/09/02 07:53,7675,8068B1B30,3655,8069AC0B0,4307.25,Euro,4307.25,Euro,Cheque,0
2022/09/01 00:26,32400,80DA329D0,32400,80DA329D0,31722.05,US Dollar,31722.05,US Dollar,Reinvestment,0
2022/09/09 12:17,410,8001B5B90,22,8008B0C50,328.94,Euro,328.94,Euro,Credit Card,0
2022/09/06 02:37,117698,80B500AB0,15231,80C8EE160,612.84,Euro,612.84,Euro,ACH,0
2022/09/08 16:45,10,800BD8D00,221891,809BAB740,19260.37,US Dollar,19260.37,US Dollar,Credit Card,0
2022/09/02 21:52,1,80005B9B0,1,8001117A0,5793.64,US Dollar,5793.64,US Dollar,ACH,0
2022/09/01 09:26,142836,810014330,43735,810649F50,100486.83,Shekel,100486.83,Shekel,Cheque,0
2022/09/05 01:55,11128,80464D020,139490,8145AA630,46459.62,Yen,46459.62,Yen,Cheque,0
2022/09/01 00:09,228009,80A3E6E80,28531,80A6FE0B0,126724.87,Australian Dollar,126724.87,Australian Dollar,Cheque,0
2022/09/01 04:50,1132,80B709A30,214,80C1DAC20,40351.95,Mexican Peso,40351.95,Mexican Peso,Cheque,0
2022/09/06 03:37,70,1004286A8,16418,8086EAB50,2211.95,Euro,2211.95,Euro,Cheque,0
2022/09/01 11:19,39614,80399A660,39614,80399A660,47548.55,Yuan,47548.55,Yuan,Reinvestment,0
2022/09/09 07:52,18617,8075DEFF0,228540,80AFDA770,178.79,US Dollar,178.79,US Dollar,Credit Card,0
2022/09/08 21:35,17861,8033D62A0,14663,804926A30,7098.72,Euro,7098.72,Euro,Cheque,0
2022/09/09 03:02,1292,8067580F0,1292,809C111A0,18768.21,US Dollar,18768.21,US Dollar,Cheque,0
2022/09/03 15:55,1467,802CE4CD0,14804,807A07DA0,240.06,US Dollar,240.06,US Dollar,Cash,0
2022/09/01 01:54,3335,80819F770,3335,80819F770,7.79,Euro,7.79,Euro,Reinvestment,0
2022/09/01 00:22,701,8016F7FF0,701,8016F7FF0,5.14,US Dollar,5.14,US Dollar,Reinvestment,0
2022/09/01 10:41,70,100428738,210292,80B1C4FC0,107607.54,Yen,107607.54,Yen,Cheque,0
2022/09/05 01:58,119,8000D2C60,143496,8101DBD60,834.17,Shekel,834.17,Shekel,Credit Card,0
2022/09/07 07:04,15625,8110B49B0,44359,8110B4A00,2623.7,US Dollar,2623.7,US Dollar,ACH,0
2022/09/06 09:08,70,100428660,2385,8052ECDF0,135.88,US Dollar,135.88,US Dollar,Cash,0
2022/09/02 01:47,113,80FD78030,142836,80FD79CE0,1854.33,Shekel,1854.33,Shekel,Cheque,0
2022/09/01 00:13,27995,80A484ED0,27995,80A484ED0,15.98,Australian Dollar,15.98,Australian Dollar,Reinvestment,0
2022/09/06 05:37,11657,8009DE750,24482,801F92C90,210.23,Euro,210.23,Euro,Cheque,0
2022/09/07 16:25,1024,8010356B0,1547,8059ECD10,178778.8,Euro,178778.8,Euro,Cheque,0
2022/09/02 15:03,18097,803923100,19705,80AF3BA50,46535.16,Yuan,46535.16,Yuan,Cheque,0
2022/09/05 00:28,12963,8016327E0,215242,812A40460,2702790.82,Euro,2702790.82,Euro,Cash,0
2022/09/02 00:00,313884,807969A10,14657,80796D0F0,143.84,Euro,143.84,Euro,ACH,0
2022/09/04 15:54,4503,801C9D3E0,1,805DFDC10,132.25,US Dollar,132.25,US Dollar,Cheque,0
2022/09/09 22:28,3377,807223E50,15625,80721C6B0,130.08,US Dollar,130.08,US Dollar,ACH,0
2022/09/01 04:36,229227,80CEB2890,19593,80EFB1740,5467.08,Yuan,5467.08,Yuan,Cheque,0
2022/09/01 00:20,212,808D8EC90,121580,808EE3F60,33236.31,UK Pound,33236.31,UK Pound,Wire,0
2022/09/05 11:56,17425,80C050A60,115249,80C050DD0,1287.08,US Dollar,1287.08,US Dollar,ACH,0
2022/09/08 01:59,117143,8073254B0,117304,8074FD400,1296029.12,Ruble,1296029.12,Ruble,Credit Card,0
2022/09/05 19:04,15,803854790,15,803F392D0,616127.86,Yen,616127.86,Yen,Cheque,0
2022/09/01 01:21,12,8002C8CC0,1362,800303320,1844.2,US Dollar,1844.2,US Dollar,Cheque,0
2022/09/08 14:46,12561,800F2D900,13862,801AA8940,800.55,Euro,800.55,Euro,Credit Card,0
2022/09/06 01:50,1547,800630390,14290,802D2F4F0,120.75,Euro,120.75,Euro,Wire,0
2022/09/10 17:53,143430,81052CA40,246162,811269C20,10226.24,Shekel,10226.24,Shekel,Cheque,0
2022/09/01 00:07,44351,8105731F0,44351,8105731F0,19.0,US Dollar,19.0,US Dollar,Reinvestment,0
2022/09/09 18:29,27621,80AA60600,28628,80B00FAD0,1813.09,Australian Dollar,1813.09,Australian Dollar,Wire,0
2022/09/02 09:59,13057,80168C700,27920,805751550,10455.09,Euro,10455.09,Euro,Credit Card,0
2022/09/03 14:51,6,804816810,13184,805083730,9084.26,Rupee,9084.26,Rupee,Cheque,0
2022/09/10 00:00,110057,804416310,110057,803B698A0,7174.01,Yen,7174.01,Yen,Credit Card,0
2022/09/10 21:15,214,80B730550,214,80BD2A7C0,2574.3,Mexican Peso,2574.3,Mexican Peso,Cheque,0
2022/09/06 18:19,14233,80C322F70,25337,811CB8770,1725.09,Euro,1725.09,Euro,Credit Card,0
2022/09/02 21:56,11899,804B42C20,113685,811E0AAD0,37931.2,US Dollar,37931.2,US Dollar,Cheque,0
2022/09/09 00:27,117304,806D79470,116781,806A7BE10,5505.48,Ruble,5505.48,Ruble,Credit Card,0
2022/09/10 07:11,11474,80553E3B0,2952,806E754A0,772.63,US Dollar,772.63,US Dollar,Cheque,0
2022/09/01 00:22,352011,813129240,352011,813129240,2173.07,US Dollar,2173.07,US Dollar,Reinvestment,0
2022/09/02 07:38,324407,81389FF10,222268,81389F850,142.16,UK Pound,142.16,UK Pound,ACH,0
2022/09/04 13:28,121,811EAA280,148586,811FFE910,217.1,Saudi Riyal,217.1,Saudi Riyal,Credit Card,0
2022/09/09 10:15,21550,800F82010,21550,800F82010,31231142.46,Ruble,401407.93,US Dollar,ACH,0
2022/09/07 00:26,248857,811E4BA50,48211,812360410,159.52,Saudi Riyal,159.52,Saudi Riyal,Credit Card,0
2022/09/06 19:16,239453,80E996CD0,241636,80F4437E0,83.13,Swiss Franc,83.13,Swiss Franc,Cheque,0
2022/09/02 00:34,33554,801ADBB30,13862,801B0A990,426.99,Euro,426.99,Euro,Cheque,0
2022/09/01 03:55,14650,8020FE780,23554,80BC88A80,716991.75,Euro,716991.75,Euro,Cash,0
2022/09/09 03:41,70,100428660,11471,809B9CE60,3695.62,US Dollar,3695.62,US Dollar,Cheque,0
2022/09/08 18:31,22806,801065A10,16388,8028A20D0,3037.56,Euro,3037.56,Euro,ACH,0
